category,train_count,test_count
 United-States,29170,14662
 Mexico,643,308
 ?,583,274
 Philippines,198,97
 Germany,137,69
 Canada,121,61
 Puerto-Rico,114,70
 El-Salvador,106,49
 India,100,51
 Cuba,95,43
 England,90,37
 Jamaica,81,25
 South,80,35
 China,75,47
 Italy,73,32
 Dominican-Republic,70,33
 Vietnam,67,19
 Guatemala,64,24
 Japan,62,30
 Poland,60,27
 Columbia,59,26
 Taiwan,51,14
 Haiti,44,31
 Iran,43,16
 Portugal,37,30
 Nicaragua,34,15
 Peru,31,15
 France,29,9
 Greece,29,20
 Ecuador,28,17
 Ireland,24,13
 Hong,20,10
 Cambodia,19,9
 Trinadad&Tobago,19,8
 Laos,18,5
 Thailand,18,12
 Yugoslavia,16,7
 Outlying-US(Guam-USVI-etc),14,9
 Honduras,13,7
 Hungary,13,6
 Scotland,12,9
 Holand-Netherlands,1,0
